회사이름,회사설명,회사URL,설명,두 번째 P 요소 텍스트,첫 번째 Span 요소 텍스트,두 번째 Span 요소 텍스트
환인제약,상시 인재 채용(생산기계설비),https://www.jobkorea.co.kr/Recruit/GI_Read/44037575?rPageCode=SL&logpath=21,"해외영업, 품질보증, 생산관리, 공시, 설비관리, 신사업기획, 회계, 사업기획, 총무, Oracle, 면접·채용, 전략기획, 대기환경, 급여관리, 수질환경, 인사기획, 자재구매, R&D, 영업관리, 제약연구, SPRING",,8시간 전 수정,상시채용
㈜건우솔루션,[신입/경력] 소프트웨어 개발 관리 담당자 모집 (서울),https://www.jobkorea.co.kr/Recruit/GI_Read/43941853?rPageCode=SL&logpath=21,"모바일앱개발, 솔루션, 테스터, SI, CRM, 검증, 소프트웨어개발",,8시간 전 수정,~03/07(목)
㈜건우솔루션,[경력] DevOps Engineer 모집 (판교),https://www.jobkorea.co.kr/Recruit/GI_Read/43980103?rPageCode=SL&logpath=21,"모바일앱개발, 솔루션, SI, CRM, 소프트웨어개발",,8시간 전 수정,~03/14(목)
㈜세찬아이앤씨,[판교] 자바/웹 응용프로그램 개발 경력자 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/44033412?rPageCode=SL&logpath=21,"SM, SI개발, 솔루션, SI, 서버관리, 인터페이스, 클라우드개발자, 반응형웹, HTTP, 클라우드아키텍트, 소프트웨어개발",,8시간 전 수정,~03/20(수)
㈜건우솔루션,[경력] 시스템 테스트 엔지니어 모집 (서울),https://www.jobkorea.co.kr/Recruit/GI_Read/44025856?rPageCode=SL&logpath=21,"모바일앱개발, 솔루션, SI, CRM, 소프트웨어개발",,8시간 전 수정,~03/20(수)
환인제약,상시 인재 채용(제조지원설비),https://www.jobkorea.co.kr/Recruit/GI_Read/44037566?rPageCode=SL&logpath=21,"해외영업, 품질보증, 생산관리, 공시, 설비관리, 신사업기획, 회계, 사업기획, 총무, Oracle, 면접·채용, 전략기획, 대기환경, 급여관리, 수질환경, 인사기획, 자재구매, R&D, 영업관리, 제약연구, SPRING",,8시간 전 수정,상시채용
㈜여덟끼니,[여덟끼니] 함께 근무하실 Front-end S/W Developer 모십니다.,https://www.jobkorea.co.kr/Recruit/GI_Read/43701126?rPageCode=SL&logpath=21,"한식당, 카페, 커피숍",,8시간 전 수정,~02/29(목)
㈜여덟끼니,[여덟끼니] 함께 근무하실 DBA 모십니다.,https://www.jobkorea.co.kr/Recruit/GI_Read/43785595?rPageCode=SL&logpath=21,"한식당, 카페, 커피숍",,8시간 전 수정,~02/29(목)
㈜글림시스템즈,2024년 연구개발 R&D (기구설계) 담당자(정규직) 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/43817245?rPageCode=SL&logpath=21,"유지보수, 회로설계, 회로설계, 펌웨어, 구매관리, 생산, H/W, 펌웨어, 전기제어, 소프트웨어개발",,8시간 전 수정,~03/19(화)
환인제약,상시 인재 채용(품질관리),https://www.jobkorea.co.kr/Recruit/GI_Read/44037558?rPageCode=SL&logpath=21,"해외영업, 품질보증, 생산관리, 공시, 설비관리, 신사업기획, 회계, 사업기획, 총무, Oracle, 면접·채용, 전략기획, 대기환경, 급여관리, 수질환경, 인사기획, 자재구매, R&D, 영업관리, 제약연구, SPRING",,8시간 전 수정,상시채용
㈜글림시스템즈,2024년 시스템 제어 담당자(정규직) 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/43827227?rPageCode=SL&logpath=21,"유지보수, 회로설계, 회로설계, 펌웨어, 구매관리, 생산, H/W, 펌웨어, 전기제어, 소프트웨어개발",,8시간 전 수정,~03/22(금)
㈜여덟끼니,[여덟끼니] 함께 근무하실 Back-end S/W Developer 모십니다.,https://www.jobkorea.co.kr/Recruit/GI_Read/43790102?rPageCode=SL&logpath=21,"한식당, 카페, 커피숍",,8시간 전 수정,~02/29(목)
㈜글림시스템즈,2024년 3D 그래픽 디자인 담당자(정규직) 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/43827247?rPageCode=SL&logpath=21,"모션그래픽, 애니메이션, 애니메이션, 모델링, 소프트웨어개발",,8시간 전 수정,~03/22(금)
㈜글림시스템즈,2024년 응용소프트웨어 개발 담당자(정규직) 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/43847900?rPageCode=SL&logpath=21,소프트웨어개발,,8시간 전 수정,~02/23(금)
환인제약,상시 인재 채용(품질보증),https://www.jobkorea.co.kr/Recruit/GI_Read/44037552?rPageCode=SL&logpath=21,"해외영업, 품질보증, 생산관리, 공시, 설비관리, 신사업기획, 회계, 사업기획, 총무, Oracle, 면접·채용, 전략기획, 대기환경, 급여관리, 수질환경, 인사기획, 자재구매, R&D, 영업관리, 제약연구, SPRING",,8시간 전 수정,상시채용
환인제약,상시 인재 채용(물류),https://www.jobkorea.co.kr/Recruit/GI_Read/44037544?rPageCode=SL&logpath=21,"해외영업, 품질보증, 생산관리, 공시, 설비관리, 신사업기획, 회계, 사업기획, 총무, Oracle, 면접·채용, 전략기획, 대기환경, 급여관리, 수질환경, 인사기획, 자재구매, R&D, 영업관리, 제약연구, SPRING",,8시간 전 수정,상시채용
㈜제주항공,제주항공 경력/신입사원 상시채용(여객시스템운영),https://www.jobkorea.co.kr/Recruit/GI_Read/43923313?rPageCode=SL&logpath=21,"IT기획, 시스템운영, 커머스플랫폼기획, 항공사, 시스템분석, 여객시스템운영",,8시간 전 수정,상시채용
환인제약,상시 인재 채용(생산관리(칭량/보관소관리)),https://www.jobkorea.co.kr/Recruit/GI_Read/44037533?rPageCode=SL&logpath=21,"해외영업, 품질보증, 생산관리, 공시, 설비관리, 신사업기획, 회계, 사업기획, 총무, Oracle, 면접·채용, 전략기획, 대기환경, 급여관리, 수질환경, 인사기획, 자재구매, R&D, 영업관리, 제약연구, SPRING",,8시간 전 수정,상시채용
㈜케이엔케이,자동화설비 SW개발 경력직 채용(사업확장에 따른 충원),https://www.jobkorea.co.kr/Recruit/GI_Read/43879042?rPageCode=SL&logpath=21,"전장, 자동제어, 전자, SW, 기구설계, 제어",,8시간 전 수정,~03/29(금)
환인제약,상시 인재 채용(생산관리(경리/서무)),https://www.jobkorea.co.kr/Recruit/GI_Read/44037527?rPageCode=SL&logpath=21,"해외영업, 품질보증, 생산관리, 공시, 설비관리, 신사업기획, 회계, 사업기획, 총무, Oracle, 면접·채용, 전략기획, 대기환경, 급여관리, 수질환경, 인사기획, 자재구매, R&D, 영업관리, 제약연구, SPRING",,8시간 전 수정,상시채용
㈜폴리큐브,서버 및 앱 클라이언트 프로그래머를 모십니다.,https://www.jobkorea.co.kr/Recruit/GI_Read/44024061?rPageCode=SL&logpath=21,"스마트폰, 모바일App, 모바일",사원급,8시간 전 수정,~03/17(일)
환인제약,상시 인재 채용(생산관리(입고/품절/실적관리)),https://www.jobkorea.co.kr/Recruit/GI_Read/44037519?rPageCode=SL&logpath=21,"해외영업, 품질보증, 생산관리, 공시, 설비관리, 신사업기획, 회계, 사업기획, 총무, Oracle, 면접·채용, 전략기획, 대기환경, 급여관리, 수질환경, 인사기획, 자재구매, R&D, 영업관리, 제약연구, SPRING",,8시간 전 수정,상시채용
㈜폴리큐브,"병역특례(보충역, 현역, 전직 산업기능요원)로 프로그래머를 모십니다.",https://www.jobkorea.co.kr/Recruit/GI_Read/44024060?rPageCode=SL&logpath=21,"스마트폰, 모바일App, 모바일",사원급,8시간 전 수정,~03/17(일)
㈜디지탈쉽,(주)디지탈쉽 웹 프론트 및 백엔드 개발 경력사원 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/44037516?rPageCode=SL&logpath=21,"빅데이터, 인공지능, 데이터분석",,8시간 전 수정,~02/27(화)
㈜디지탈쉽,SI/SM 프로젝트 관리자(PM) 및 사업관리,https://www.jobkorea.co.kr/Recruit/GI_Read/44037511?rPageCode=SL&logpath=21,"SM, SM, 프로젝트, SI, SI개발, SI, 문서관리",,8시간 전 수정,~02/27(화)
환인제약,상시 인재 채용(생산관리(위수탁관리)),https://www.jobkorea.co.kr/Recruit/GI_Read/44037507?rPageCode=SL&logpath=21,"해외영업, 품질보증, 생산관리, 공시, 설비관리, 신사업기획, 회계, 사업기획, 총무, Oracle, 면접·채용, 전략기획, 대기환경, 급여관리, 수질환경, 인사기획, 자재구매, R&D, 영업관리, 제약연구, SPRING",,8시간 전 수정,상시채용
환인제약,상시 인재 채용(영양사),https://www.jobkorea.co.kr/Recruit/GI_Read/44037504?rPageCode=SL&logpath=21,"해외영업, 품질보증, 생산관리, 공시, 설비관리, 신사업기획, 회계, 사업기획, 총무, Oracle, 면접·채용, 전략기획, 대기환경, 급여관리, 수질환경, 인사기획, 자재구매, R&D, 영업관리, 제약연구, SPRING",,8시간 전 수정,상시채용
밸류플러스테크놀러지㈜,[밸류플러스테크놀러지] 2024년 연구소 F/W개발 경력직 채용공고,https://www.jobkorea.co.kr/Recruit/GI_Read/44037502?rPageCode=SL&logpath=21,"C++, 기계, 임베디드, 회로설계, Python, 시스템설계, 회로설계, 딥러닝, 자동화설비, 펌웨어, 이미지프로세싱, ARM, Linux, 기계설계, 기계설비, 펌웨어, 모델링, CAD, AVR, MCU",주임~대리급 외,8시간 전 수정,~03/21(목)
환인제약,상시 인재 채용(생산(ERP/DI)),https://www.jobkorea.co.kr/Recruit/GI_Read/44037497?rPageCode=SL&logpath=21,"해외영업, 품질보증, 생산관리, 공시, 설비관리, 신사업기획, 회계, 사업기획, 총무, Oracle, 면접·채용, 전략기획, 대기환경, 급여관리, 수질환경, 인사기획, 자재구매, R&D, 영업관리, 제약연구, SPRING",,8시간 전 수정,상시채용
환인제약,상시 인재 채용(생산(생산계획)),https://www.jobkorea.co.kr/Recruit/GI_Read/44037490?rPageCode=SL&logpath=21,"해외영업, 품질보증, 생산관리, 공시, 설비관리, 신사업기획, 회계, 사업기획, 총무, Oracle, 면접·채용, 전략기획, 대기환경, 급여관리, 수질환경, 인사기획, 자재구매, R&D, 영업관리, 제약연구, SPRING",,8시간 전 수정,상시채용
㈜영진인포텍,"서버(Linux,Windows) 및 네트워크 관리 엔지니어를 모십니다.",https://www.jobkorea.co.kr/Recruit/GI_Read/44037486?rPageCode=SL&logpath=21,"시스템운영, 시스템운영, 네트워크관리, 컴퓨터, AS, 네트워크관리, 유지보수",주임~대리급 외,8시간 전 수정,~04/20(토)
환인제약,상시 인재 채용(생산(포장)),https://www.jobkorea.co.kr/Recruit/GI_Read/44037480?rPageCode=SL&logpath=21,"해외영업, 품질보증, 생산관리, 공시, 설비관리, 신사업기획, 회계, 사업기획, 총무, Oracle, 면접·채용, 전략기획, 대기환경, 급여관리, 수질환경, 인사기획, 자재구매, R&D, 영업관리, 제약연구, SPRING",,8시간 전 수정,상시채용
㈜아이티온넷,익산시 H사 전산시스템 유지관리,https://www.jobkorea.co.kr/Recruit/GI_Read/43857558?rPageCode=SL&logpath=21,"시스템운영, 네트웍구축, 시스템운영, 방화벽, 네트워크관리, 네트워크관리, 통신, 네트워크관리",사원급 외,8시간 전 수정,~03/25(월)
환인제약,상시 인재 채용(생산(공정)),https://www.jobkorea.co.kr/Recruit/GI_Read/44037472?rPageCode=SL&logpath=21,"해외영업, 품질보증, 생산관리, 공시, 설비관리, 신사업기획, 회계, 사업기획, 총무, Oracle, 면접·채용, 전략기획, 대기환경, 급여관리, 수질환경, 인사기획, 자재구매, R&D, 영업관리, 제약연구, SPRING",,8시간 전 수정,상시채용
환인제약,상시 인재 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/44037460?rPageCode=SL&logpath=21,"해외영업, 품질보증, 생산관리, 공시, 설비관리, 신사업기획, 회계, 사업기획, 총무, Oracle, 면접·채용, 전략기획, 대기환경, 급여관리, 수질환경, 인사기획, 자재구매, R&D, 영업관리, 제약연구, SPRING",,8시간 전 수정,상시채용
컴퓨텍코리아㈜,외국계 IT 유지보수 엔지니어 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/44037454?rPageCode=SL&logpath=21,"프론트엔드, 시스템운영, 하드웨어, 기술지원, 컴퓨터, 네트워크관리",사원급 외,8시간 전 수정,상시채용
㈜레디올소프트,"[서울/주5일] R&D 연구비 관리 PM 경력직 모집(최대 4,000)",https://www.jobkorea.co.kr/Recruit/GI_Read/44033966?rPageCode=SL&logpath=21,"솔루션, 시스템분석, 제안·컨설팅, PM, UI·UX기획, 클라이언트, 콘텐츠기획, SI개발, ERP, 아키텍처, 시스템설계, 서비스기획, 소프트웨어개발",,8시간 전 수정,~03/20(수)
㈜인포벨리코리아,"공공기관 SM 프로젝트 Java, Jsp 개발자 모집 (충청북도 KTX 오송역 인근 근무)",https://www.jobkorea.co.kr/Recruit/GI_Read/44037442?rPageCode=SL&logpath=21,"BigData, GUI, SM, SI, SI개발, 인터페이스, ISP, 반응형웹, 소프트웨어개발",주임~대리급 외,8시간 전 수정,~03/21(목)
㈜큐오텍,[ 2024년 (주)큐오텍 IT 솔루션 신입/경력 기술영업 채용 ],https://www.jobkorea.co.kr/Recruit/GI_Read/44027468?rPageCode=SL&logpath=21,"IT영업, 네트워크보안, 보안컨설팅, SI영업, 보안소프트웨어, 정보보안, 방화벽, 네트워크, 정보보안",사원급 외,8시간 전 수정,~03/03(일)
마루정보,[종로] 하나손보 자동차보험 개발프로젝트,https://www.jobkorea.co.kr/Recruit/GI_Read/43982844?rPageCode=SL&logpath=21,SI개발,사원급 외,9시간 전 수정,~03/14(목)
마루정보,[을지로] 하나은행 해외법인 개발프로젝트,https://www.jobkorea.co.kr/Recruit/GI_Read/43978297?rPageCode=SL&logpath=21,SI개발,사원급 외,9시간 전 수정,~03/14(목)
㈜오파스넷,[신입/경력] 네트워크 상주 운영 엔지니어 (목동) - 9,https://www.jobkorea.co.kr/Recruit/GI_Read/44010349?rPageCode=SL&logpath=21,"별정통신, 네트웍구축, 네트워크관리, 통신",,9시간 전 수정,~04/16(화)
마루정보,[여의도] 수출입은행 DW 구축,https://www.jobkorea.co.kr/Recruit/GI_Read/43927737?rPageCode=SL&logpath=21,SI개발,과장~차장급 외,9시간 전 수정,~03/04(월)
㈜코메사,"카드/캐피탈업무 개발: 공통,승인,사후관리,대출,전자금융,청구입금,모집심사발급,국제정산,회계,매출,가맹점관리 등",https://www.jobkorea.co.kr/Recruit/GI_Read/43931359?rPageCode=SL&logpath=21,"BigData, SM, OLAP개발자, 데이터관리, 시스템분석, SI, 데이터마이닝, CRM, 클라이언트, SI개발, 모델링, 아키텍처, 시스템설계, 소프트웨어개발, DB튜닝",주임~대리급 외,9시간 전 수정,~03/29(금)
㈜코메사,"증권업무 개발,유지보수: 공통,권리청약,펀드,퇴직연금,계좌관리,융자,매매,출납,파생상품,대외계,계리,마이데이타 등",https://www.jobkorea.co.kr/Recruit/GI_Read/43931412?rPageCode=SL&logpath=21,"BigData, SM, OLAP개발자, 데이터관리, 시스템분석, SI, 데이터마이닝, CRM, 클라이언트, SI개발, 모델링, 아키텍처, 시스템설계, 소프트웨어개발, DB튜닝",주임~대리급 외,9시간 전 수정,~03/29(금)
㈜코메사,"생명/손해/화재보험업무 개발: 공통,퇴직연금,방카슈랑스,융자,영업지원/관리,신계약,상품,청구수납,변액,보상,지급",https://www.jobkorea.co.kr/Recruit/GI_Read/43931472?rPageCode=SL&logpath=21,"BigData, SM, OLAP개발자, 데이터관리, 시스템분석, SI, CRM, 클라이언트, SI개발, 모델링, 아키텍처, 시스템설계, DW모델러, 소프트웨어개발, DB튜닝",주임~대리급 외,9시간 전 수정,~03/29(금)
㈜코메사,"은행/저축은행/캐피탈업무 개발: 공통,여신,수신,대외계,외환,고객,회계,퇴직연금,대행,마이데이터,이행,BPR,AML,IFRS,DW 등",https://www.jobkorea.co.kr/Recruit/GI_Read/43931518?rPageCode=SL&logpath=21,"BigData, SM, OLAP개발자, 데이터관리, 시스템분석, SI, 데이터마이닝, CRM, 클라이언트, SI개발, 모델링, 아키텍처, 시스템설계, 소프트웨어개발, DB튜닝",주임~대리급 외,9시간 전 수정,~03/29(금)
언버스,"[분당/판교테크노밸리] 웹프로그래머 경력직 채용(Python, 백엔드 운영)",https://www.jobkorea.co.kr/Recruit/GI_Read/43965858?rPageCode=SL&logpath=21,"SM, Azure, 솔루션, Python, 파이선, DB설계, django, SI, AWS, RestfulApi, Oracle, 인터페이스, 클라이언트, Java, 소프트웨어개발",,9시간 전 수정,~02/29(목)
언버스,"[인천 서구/청라국제도시역] 웹프로그래머 경력직 채용(JAVA/Python, 운영)",https://www.jobkorea.co.kr/Recruit/GI_Read/43977706?rPageCode=SL&logpath=21,"SM, Python, DevOps, CI/CD, 인터페이스, 클라이언트, Java, 소프트웨어개발",,9시간 전 수정,~03/01(금)
언버스,[과천시/정부과천청사역] 웹프로그래머 경력직 채용(vue.js),https://www.jobkorea.co.kr/Recruit/GI_Read/44035299?rPageCode=SL&logpath=21,"Java, Oracle, GIT, spring boot, RestfulApi, vue.js, 소프트웨어개발, 솔루션, SI",,9시간 전 수정,~02/28(수)
㈜케이씨엠에스,"종로5가 SGI서울보증 디지털채널 개발 MDD, 웹스퀘어 경험자를 모집 합니다. (k05)",https://www.jobkorea.co.kr/Recruit/GI_Read/44036832?rPageCode=SL&logpath=21,SI,,10시간 전 수정,모레마감
㈜루이컨설팅,[시청역] - 사업관리 구인 OOO 정보보호 고도화 프로젝트 (프리랜서 및 정규직),https://www.jobkorea.co.kr/Recruit/GI_Read/44036675?rPageCode=SL&logpath=21,"SI개발, 서버구축, IT컨설팅",,17시간 전 수정,~03/20(수)
㈜케이씨엠에스,"마곡 LG CNS 프레임웍 및 JDK 업그레이드 보완 개발 Java, SpringBoot 3.0, JDK17, Thymeleaf 또는 JSP 경험자를 모집 합니다. (k05)",https://www.jobkorea.co.kr/Recruit/GI_Read/44036564?rPageCode=SL&logpath=21,SI,,18시간 전 수정,내일마감
㈜우리데이터시스템,"웹개발자 모집(eXBuilde, SpringBoot)",https://www.jobkorea.co.kr/Recruit/GI_Read/44036525?rPageCode=SL&logpath=21,"SI, 금융, 외환, 증권",,19시간 전 수정,~02/29(목)
㈜케이씨엠에스,"마곡 LG CNS U-Asset 시스템 수정 개발 ASP.NET, MS-SQL 경험자를 모집 합니다. (k05)",https://www.jobkorea.co.kr/Recruit/GI_Read/44036521?rPageCode=SL&logpath=21,SI,,19시간 전 수정,내일마감
유니크리에이트,[경력] 이러닝 콘텐츠 프로그래머를 모집합니다,https://www.jobkorea.co.kr/Recruit/GI_Read/44036493?rPageCode=SL&logpath=21,"웹표준·웹접근성, 시스템분석, 인터넷교육, 컨텐츠, 웹마스터, 시스템설계",,19시간 전 수정,상시채용
에스큐아이소프트,"[문정역]Cloud SA/TA/AA, DBA 모집",https://www.jobkorea.co.kr/Recruit/GI_Read/44036482?rPageCode=SL&logpath=21,"SM, 솔루션, SI, 클라우드아키텍트, 소프트웨어개발",,19시간 전 수정,~03/20(수)
㈜케이씨엠에스,"구미 MTS 원부자재 추적 시스템 PDA 개발 Java, JavaScript, 안드로이드 OS버젼 PDA 개발 경험자를 모집 합니다. (k07)",https://www.jobkorea.co.kr/Recruit/GI_Read/44036476?rPageCode=SL&logpath=21,SI,,19시간 전 수정,내일마감
㈜케이씨엠에스,"여수산단 Plant 설비엔지니어링 설비 Concept 설계, 설비 시나리오 작성 경험자를 모집 합니다. (k05)",https://www.jobkorea.co.kr/Recruit/GI_Read/44036421?rPageCode=SL&logpath=21,SI,,19시간 전 수정,내일마감
㈜케이씨엠에스,"청주 오창 eIot EDC 셀추적 개발 MS-SQL, C# 개발 경험자를 모집 합니다. (k05)",https://www.jobkorea.co.kr/Recruit/GI_Read/44036385?rPageCode=SL&logpath=21,SI,,19시간 전 수정,내일마감
헬리오소프트㈜,KT SI 프로젝트 java 개발자 함께할분 모십니다,https://www.jobkorea.co.kr/Recruit/GI_Read/43740976?rPageCode=SL&logpath=21,"SM, SI개발, SI, CRM, 소프트웨어개발",과장~차장급 외,20시간 전 수정,~03/10(일)
이수정보㈜,[동묘] OO기관 디지털 교과서 프로젝트(테스트관리/중급),https://www.jobkorea.co.kr/Recruit/GI_Read/44036325?rPageCode=SL&logpath=21,테스터,,20시간 전 수정,~03/01(금)
㈜브리즈스토리,기획 가능한 웹디자이너(웹퍼블리셔) 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/43988120?rPageCode=SL&logpath=21,"UI·UX기획, 홍보대행, 광고기획, 모바일디자인, 온라인광고, 광고대행, 광고디자인",팀원 외,20시간 전 수정,~03/15(금)
㈜비비다컴,[부산] OXFG PC방사업부 시스템팀 팀원 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/44036319?rPageCode=SL&logpath=21,"유지보수, A/W, PC, 거래처관리, 프랜차이즈, 시스템관리, 시스템운영, 가맹점관리, 시스템운영, 프랜차이즈, 네트워크관리, PC방, 시스템설계, H/W, AS, 네트워크관리",주임~대리급,20시간 전 수정,~04/05(금)
이수정보㈜,[수원] OO기업 탄소배출량 관리시스템 구축(ABAP/고급),https://www.jobkorea.co.kr/Recruit/GI_Read/44036315?rPageCode=SL&logpath=21,SI개발,,20시간 전 수정,~03/01(금)
㈜플레이파크,[대구]회사와 함께 성장할 게임 및 유니티개발자 모십니다.,https://www.jobkorea.co.kr/Recruit/GI_Read/43846785?rPageCode=SL&logpath=21,"GUI, 모바일앱게임, 증강현실, Unity, RPG, 게임소프트웨어, 가상현실, 클라이언트, 인터페이스, MMORPG, 메타버스, 게임개발, 3D디자인",사원급 외,20시간 전 수정,모레마감
이수정보㈜,[마곡] OO기업 Next G-Purchasing 구축 및 법인 확산 구매(java/고급),https://www.jobkorea.co.kr/Recruit/GI_Read/44036291?rPageCode=SL&logpath=21,"SM, SI, SI개발",,20시간 전 수정,~03/01(금)
이수정보㈜,[마곡] OO기업 U-Asset 시스템 미주법인 도입(ASP.NET/고급),https://www.jobkorea.co.kr/Recruit/GI_Read/44036288?rPageCode=SL&logpath=21,"SM, SI, SI개발",,20시간 전 수정,~03/08(금)
㈜조인아이티,"SI(개발)/디지털교과서.테스트관리/동묘역부근/중급/투입,3월중순or말/1명(-2년)/1명(-1년10개월)/테스트관리업무경험자/",https://www.jobkorea.co.kr/Recruit/GI_Read/44036281?rPageCode=SL&logpath=21,"SM, 테스터, SI",,20시간 전 수정,~04/19(금)
㈜인이지,[INEEJI] (주)인이지 AI연구소 AI엔지니어 채용(부산),https://www.jobkorea.co.kr/Recruit/GI_Read/44036272?rPageCode=SL&logpath=21,"빅데이터, 솔루션, 딥러닝, 인공지능, 소프트웨어개발",,20시간 전 수정,~02/29(목)
㈜인이지,[INEEJI] (주)인이지 AI연구소 AI엔지니어 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/44036268?rPageCode=SL&logpath=21,"빅데이터, 솔루션, 딥러닝, 인공지능, 소프트웨어개발",,20시간 전 수정,~02/29(목)
㈜화이트스캔,(SaaS) 백엔드 개발자 (경력),https://www.jobkorea.co.kr/Recruit/GI_Read/44036264?rPageCode=SL&logpath=21,솔루션,,20시간 전 수정,~03/10(일)
㈜썸잇,HW 및 FW 경력직 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/44036207?rPageCode=SL&logpath=21,"전자회로, 검증, 펌웨어, 시스템설계, 회로설계, 임베디드, Hardware, Firmware, PCB, 기구설계, 시스템분석, 자동제어, 펌웨어, 제어",주임~대리급 외,20시간 전 수정,상시채용
페리굿,[페리굿] 실사 위주의 VR 3D콘텐츠 모델러를 채용합니다,https://www.jobkorea.co.kr/Recruit/GI_Read/44036215?rPageCode=SL&logpath=21,"모바일앱게임, 유니티, Unity, CG, 애니메이션, 3D모델링",,20시간 전 수정,~03/20(수)
페리굿,[페리굿] 유니티 프로그래머 개발자 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/44036208?rPageCode=SL&logpath=21,"모바일앱게임, 3D모델링, 증강현실, 가상현실, 메타버스",,21시간 전 수정,~03/20(수)
푸른IT,을지로 L카드 마이데이터 프로젝트 ( 중급 자바개발자 ) 3월초부터 7개월,https://www.jobkorea.co.kr/Recruit/GI_Read/44036205?rPageCode=SL&logpath=21,"SI개발, SI, 자바, 풀스택, Java, SPRING, 스프링",과장~차장급,21시간 전 수정,~03/03(일)
센시㈜,정부R&D과제 기획 및 사업관리 전문가를 모십니다.,https://www.jobkorea.co.kr/Recruit/GI_Read/43961200?rPageCode=SL&logpath=21,"솔루션, R&D, 소프트웨어개발",과장~차장급 외,21시간 전 수정,~03/09(토)
위치컴퍼니㈜,[위치컴퍼니(주)] 유니티 개발자 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/44036184?rPageCode=SL&logpath=21,메타버스,,21시간 전 수정,~04/19(금)
푸른IT,구미 대기업 PDA 개발 프로젝트 ( 고급 자바개발자 ) 3월초부터 4개월,https://www.jobkorea.co.kr/Recruit/GI_Read/44036164?rPageCode=SL&logpath=21,"JavaScript, SI개발, PDA, SI, 자바, Java, 자바스크립트",과장~차장급,21시간 전 수정,~03/03(일)
㈜공업사스토어,[자동차MRO플랫폼기업] 공업사스토어 개발팀 리더 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/44036125?rPageCode=SL&logpath=21,도료,팀장/매니저/실장,21시간 전 수정,~03/20(수)
㈜모빌리티시스템스,"건물관리 빌즈 개발팀 개발자 추가모집 (자바, react)",https://www.jobkorea.co.kr/Recruit/GI_Read/43708728?rPageCode=SL&logpath=21,공동주택관리,,21시간 전 수정,상시채용
㈜투윈,C#.net개발(고급),https://www.jobkorea.co.kr/Recruit/GI_Read/44036053?rPageCode=SL&logpath=21,"GUI, SI, 서버관리, 인터페이스, 클라이언트",,21시간 전 수정,~03/20(수)
크놉스시스템㈜,온누리상품권 운영 개발자 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/44035935?rPageCode=SL&logpath=21,소프트웨어개발,과장~차장급,22시간 전 수정,~03/20(수)
㈜피벗크리에이티브,퍼블리싱 경력직 3년차이상 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/44035908?rPageCode=SL&logpath=21,"웹표준·웹접근성, 반응형웹, 웹프로덕션, 웹에이전시",사원급 외,22시간 전 수정,~03/29(금)
㈜뉴들,키오스크관련 app 프로그램 개발자님을 모십니다.,https://www.jobkorea.co.kr/Recruit/GI_Read/44035897?rPageCode=SL&logpath=21,"안드로이드, 모바일App, 시스템설계",주임~대리급 외,22시간 전 수정,~03/20(수)
㈜넷클로버대구,웹디자이너 경력사원 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/44035883?rPageCode=SL&logpath=21,"웹표준·웹접근성, 반응형웹, 웹에이전시",,22시간 전 수정,~03/08(금)
위커넥,플랫폼 APP 프론트엔드 개발 모집 공고,https://www.jobkorea.co.kr/Recruit/GI_Read/44035881?rPageCode=SL&logpath=21,모바일App,팀원,22시간 전 수정,~03/20(수)
㈜디이엑스인포,웹미들웨어 운영업무,https://www.jobkorea.co.kr/Recruit/GI_Read/44035854?rPageCode=SL&logpath=21,"시스템운영, 서버관리",,22시간 전 수정,~03/01(금)
㈜투윈,"자바고급(MDD기반, 보험사12개월)",https://www.jobkorea.co.kr/Recruit/GI_Read/43852199?rPageCode=SL&logpath=21,SI,,22시간 전 수정,~02/23(금)
㈜디이엑스인포,Linux 서버 OS 운영업무,https://www.jobkorea.co.kr/Recruit/GI_Read/44035844?rPageCode=SL&logpath=21,서버관리,,22시간 전 수정,~03/01(금)
㈜넷클로버부산,웹디자이너 채용(경력),https://www.jobkorea.co.kr/Recruit/GI_Read/44035841?rPageCode=SL&logpath=21,"웹표준·웹접근성, 반응형웹",,22시간 전 수정,~03/08(금)
㈜디이엑스인포,데이터베이스운영 DBA,https://www.jobkorea.co.kr/Recruit/GI_Read/44035833?rPageCode=SL&logpath=21,"SM, 데이터관리",,22시간 전 수정,~03/01(금)
