회사이름,회사설명,회사URL,설명,두 번째 P 요소 텍스트,첫 번째 Span 요소 텍스트,두 번째 Span 요소 텍스트
메니인소프트㈜,24년도 정규직 웹 개발 경력자(경기 지사 근무) 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/44024540?rPageCode=SL&logpath=21,"BigData, SM, SI개발, 솔루션, 시스템분석, SI, SI개발, 시스템설계, 소프트웨어개발",사원급 외,점프업,~03/22(금)
㈜파이버프로,[㈜파이버프로] 2024년도 부문별 채용공고,https://www.jobkorea.co.kr/Recruit/GI_Read/43907990?rPageCode=SL&logpath=21,"전자회로, 기구설계, 조립, 펌웨어, 회로설계, 제어·설계, 생산관리, 솔루션, 펌웨어, 검증, 시스템설계, 회로설계, 시스템운영, 전기·전자, 제조·공정, 서버구축, 시스템분석, 전기회로, 도면관리, R&D, 시스템분석, 시스템설계, 자동제어, 펌웨어, 연구·실험·기술, 서버관리, 네트워크관리, 생산기술, 소프트웨어개발",,점프업,~03/07(목)
㈜페코텍,각 부문 신입 및 경력 직원채용,https://www.jobkorea.co.kr/Recruit/GI_Read/43994499?rPageCode=SL&logpath=21,"결산, 관리회계, 메카트로닉스, 복리후생, 거래처관리, 기구설계, 재무회계, 펌웨어, CAM, 제어·설계, 복리후생, 행정, 밀링, 품질보증, 품질보증, 검증, 해외마케팅, 자금관리, 수출입계약, 시스템운영, 정밀광학, 반도체, 설비, 재무회계, SI개발, 서버구축, 영어, 자동제어, 기계조작, 자동화라인, 전기설계, ISO, 시스템설계, 자동제어, 제어·설계, 면접·채용, 평가·보상, 반도체생산, 자동화라인, 급여관리, 인사행정, 사출, 인사기획, 전표입력, 제품개발, CAM, ISO, 2D설계, 품질테스트, 법인결산, 자산관리, 회로설계, 서버관리, 조직문화, 고객관리, 네트워크관리, 문서관리, 생산기술, 환경관리, 공정개발, 기계조작, 서무, 국내영업, 원가회계, 전산회계",,점프업,~03/16(토)
㈜세종교육,[IT취업률100프로]AIoT/AWS/풀스택개발(무료숙식교육/비전공자가능/수도권기숙)국비무료 취준생 선착순 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/43826973?rPageCode=SL&logpath=21,"직업전문학교, 서버관리, 클라이언트, 반응형웹, 빅데이터, 딥러닝, 인공지능",,점프업,~02/23(금)
㈜모나미,모나미 [경영기획팀/IT운영팀] 경력사원 채용,https://www.jobkorea.co.kr/Recruit/GI_Read/43961545?rPageCode=SL&logpath=21,"학원강사, 경영기획, 사업기획, 재무기획, 데이터분석, 전략기획, 서비스기획, 제안·컨설팅, 데이터분석, 앱기획, 콘텐츠기획, PM, 문서작성, 문서관리, 문서작성, 행정, 문서관리, 문서작성, 인사기획, 인사교육, 인사행정, 관리회계, 법인결산, 재무회계, 고객관리, 매출관리, 프로모션, 네트워크관리, 서버구축, 시스템운영, 모델링, DBMS, 네트워크관리, 클라우드개발자, 클라우드아키텍트, 솔루션스아키텍트, GUI, 모바일디자인, UI·UX기획, GUI, 모바일디자인, UI·UX기획, 국내영업, 장비영업, 납품영업, 거래처관리, 납품영업, 장비영업, 솔루션영업, 거래처관리, 매출관리, 영업기획, 게시판관리, 고객지원, 단순안내, 민원상담, 온라인상담, 원격상담, 이메일상담, 전화상담, 채팅상담, 고객경험관리, 고객문의분석, 상담품질관리, 고객경험관리, 교육상담, 학원운영, 학생관리, 교수설계, 교육기획, 교육진행, 교육행정, 교육콘텐츠개발, 교재개발",,점프업,내일마감
조인아이티,"SI(구축)/공공.전자소송/야탑역/3월초-9월(이후연장예정)/중급,고급/c#/",https://www.jobkorea.co.kr/Recruit/GI_Read/44045181?rPageCode=SL&logpath=21,"BigData, GUI, SM, DW, SI개발, SI, ERP",,22분 전 수정,~03/21(목)
㈜코쿤,웹 프로그래머(Java기반) 신입/경력사원 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/43897600?rPageCode=SL&logpath=21,바이오,사원급 외,22분 전 수정,~02/29(목)
㈜케이사인,(주)케이사인 DB암호화 솔루션 설치 및 기술 지원 엔지니어 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/44045169?rPageCode=SL&logpath=21,"솔루션, 정보보안, 기술지원",사원급 외,23분 전 수정,~03/21(목)
아이티정보기술㈜,클라우드 관련 포탈(웹) 개발자 모집,https://www.jobkorea.co.kr/Recruit/GI_Read/43872358?rPageCode=SL&logpath=21,"IT컨설팅, GUI, 반응형웹, 인터페이스",주임~대리급 외,23분 전 수정,~03/26(화)
㈜코리아퍼스텍,인프라 시스템 운영관리 SE 모집 과천근무,https://www.jobkorea.co.kr/Recruit/GI_Read/44041246?rPageCode=SL&logpath=21,"SI, 네트워크관리, 서버구축, 시스템분석, 시스템운영, 서버관리",,23분 전 수정,~03/30(토)
